Starting memory monitor at Thu Apr  3 17:46:32 UTC 2025
Elapsed_Time | PID | Name | Heap_Used_MB | Heap_Capacity_MB | RSS_MB
00:04:50 | 1924 | GradleDaemon | 2434.8MB | 3548.0MB | 5083.5MB
00:04:50 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:04:59 | 7923 | GradleWorkerMain | 456.7MB | 720.0MB | 1062.4MB
00:04:59 | 7108 | KotlinCompileDaemon | 956.9MB | 1455.5MB | 2097.1MB
00:04:59 | 1924 | GradleDaemon | 2900.2MB | 3548.0MB | 5124.8MB
00:04:59 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:05:07 | 7923 | GradleWorkerMain | 423.1MB | 696.0MB | 1073.6MB
00:05:07 | 7108 | KotlinCompileDaemon | 771.3MB | 1531.5MB | 2522.7MB
00:05:07 | 1924 | GradleDaemon | 2177.2MB | 3548.0MB | 5142.2MB
00:05:07 | 2919 | KotlinCompileDaemon | 84.1MB | 419.5MB | 594.5MB
00:05:14 | 7923 | GradleWorkerMain | 439.9MB | 868.0MB | 1231.2MB
00:05:14 | 7108 | KotlinCompileDaemon | 913.9MB | 1641.5MB | 2538.2MB
00:05:14 | 1924 | GradleDaemon | 2689.6MB | 3548.0MB | 5173.6MB
00:05:14 | 2919 | KotlinCompileDaemon | 84.4MB | 419.5MB | 594.5MB
00:05:22 | 7923 | GradleWorkerMain | 466.2MB | 864.0MB | 1242.6MB
00:05:22 | 7108 | KotlinCompileDaemon | 293.0MB | 1843.0MB | 2662.4MB
00:05:22 | 1924 | GradleDaemon | 2082.2MB | 3461.0MB | 5196.8MB
00:05:22 | 2919 | KotlinCompileDaemon | 84.4MB | 419.5MB | 594.5MB
00:05:30 | 7923 | GradleWorkerMain | 480.6MB | 1056.0MB | 1326.0MB
00:05:30 | 7108 | KotlinCompileDaemon | 1255.7MB | 2004.0MB | 2836.7MB
00:05:30 | 1924 | GradleDaemon | 2539.1MB | 3461.0MB | 5212.9MB
00:05:30 | 2919 | KotlinCompileDaemon | 84.4MB | 419.5MB | 594.5MB
00:05:38 | 7923 | GradleWorkerMain | 583.5MB | 1068.0MB | 1451.7MB
00:05:38 | 7108 | KotlinCompileDaemon | 1595.6MB | 2004.0MB | 2854.7MB
00:05:38 | 1924 | GradleDaemon | 2003.1MB | 3461.0MB | 5240.7MB
00:05:38 | 2919 | KotlinCompileDaemon | 84.4MB | 419.5MB | 594.5MB
00:05:46 | 7923 | GradleWorkerMain | 215.1MB | 1724.0MB | 1549.4MB
00:05:46 | 7108 | KotlinCompileDaemon | 600.1MB | 2032.5MB | 2848.8MB
00:05:46 | 1924 | GradleDaemon | 2742.1MB | 3461.0MB | 5265.3MB
00:05:46 | 2919 | KotlinCompileDaemon | 84.4MB | 419.5MB | 594.5MB
00:05:54 | 7923 | GradleWorkerMain | 347.1MB | 1640.0MB | 2103.4MB
00:05:54 | 7108 | KotlinCompileDaemon | 1327.9MB | 2070.5MB | 2889.3MB
00:05:54 | 1924 | GradleDaemon | 2202.9MB | 3355.0MB | 5273.2MB
00:05:54 | 2919 | KotlinCompileDaemon | 84.4MB | 419.5MB | 594.5MB
00:06:02 | 7923 | GradleWorkerMain | 946.9MB | 1708.0MB | 2106.3MB
00:06:02 | 7108 | KotlinCompileDaemon | 444.7MB | 2095.0MB | 2923.0MB
00:06:02 | 1924 | GradleDaemon | 1960.7MB | 3355.0MB | 5288.3MB
00:06:02 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:06:09 | 7923 | GradleWorkerMain | 579.3MB | 1712.0MB | 2122.2MB
00:06:09 | 7108 | KotlinCompileDaemon | 1266.7MB | 2095.0MB | 2961.6MB
00:06:09 | 1924 | GradleDaemon | 2531.0MB | 3355.0MB | 5294.8MB
00:06:09 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:06:17 | 7923 | GradleWorkerMain | 1031.3MB | 1640.0MB | 2125.0MB
00:06:17 | 7108 | KotlinCompileDaemon | 46.8MB | 2097.5MB | 2887.0MB
00:06:17 | 1924 | GradleDaemon | 2415.2MB | 3242.0MB | 5307.4MB
00:06:17 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:06:25 | 7923 | GradleWorkerMain | 671.5MB | 1712.0MB | 2127.3MB
00:06:25 | 7108 | KotlinCompileDaemon | 1105.8MB | 2097.5MB | 2896.0MB
00:06:25 | 1924 | GradleDaemon | 2410.3MB | 3242.0MB | 5495.5MB
00:06:25 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:06:33 | 7923 | GradleWorkerMain | 1031.5MB | 1632.0MB | 2129.9MB
00:06:33 | 7108 | KotlinCompileDaemon | 707.8MB | 2117.5MB | 2929.3MB
00:06:33 | 1924 | GradleDaemon | 2374.5MB | 3268.5MB | 5589.6MB
00:06:33 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:06:41 | 7923 | GradleWorkerMain | 515.5MB | 1636.0MB | 2132.3MB
00:06:41 | 7108 | KotlinCompileDaemon | 1417.8MB | 2142.0MB | 2928.9MB
00:06:41 | 1924 | GradleDaemon | 2364.1MB | 3268.5MB | 5604.5MB
00:06:41 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:06:48 | 7923 | GradleWorkerMain | 459.6MB | 1708.0MB | 2134.4MB
00:06:48 | 7108 | KotlinCompileDaemon | 695.0MB | 2129.5MB | 3029.3MB
